run,repetition,module,name,value
General-11-20221231-12:32:35-12856,11,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00051247276432576
General-12-20221231-12:32:35-7768,12,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00053413804965501
General-12-20221231-12:32:35-7768,12,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00052486932824335
General-12-20221231-12:32:35-7768,12,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00050880572944853
General-12-20221231-12:32:35-7768,12,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00051205735649582
General-12-20221231-12:32:35-7768,12,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00053060253134033
General-12-20221231-12:32:35-7768,12,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00052143766670417
General-12-20221231-12:32:35-7768,12,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00050567854478876
General-12-20221231-12:32:35-7768,12,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00051739824047019
General-12-20221231-12:32:35-7768,12,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00052247909234735
General-12-20221231-12:32:35-7768,12,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00051663011877823
General-13-20221231-12:32:35-1780,13,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00053510917593596
General-13-20221231-12:32:35-1780,13,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.0005093464205546
General-13-20221231-12:32:35-1780,13,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00052264011495481
General-13-20221231-12:32:35-1780,13,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00052163458735209
General-13-20221231-12:32:35-1780,13,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00052014934144318
General-13-20221231-12:32:35-1780,13,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00051718756297062
General-13-20221231-12:32:35-1780,13,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00053085932847407
General-13-20221231-12:32:35-1780,13,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00051721173826538
General-13-20221231-12:32:35-1780,13,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00051115264243744
General-13-20221231-12:32:35-1780,13,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00053638044020902
General-14-20221231-12:32:36-1480,14,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00052380935720608
General-14-20221231-12:32:36-1480,14,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00053719503992681
General-14-20221231-12:32:36-1480,14,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.0005215827825188
General-14-20221231-12:32:36-1480,14,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00050577971209742
General-14-20221231-12:32:36-1480,14,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00053582699846287
General-14-20221231-12:32:36-1480,14,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00052407681732036
General-14-20221231-12:32:36-1480,14,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00052332131382877
General-14-20221231-12:32:36-1480,14,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00049982943657369
General-14-20221231-12:32:36-1480,14,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00053583552012066
General-14-20221231-12:32:36-1480,14,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00051339904800098
General-15-20221231-12:32:36-15420,15,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00051268518539339
General-15-20221231-12:32:36-15420,15,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00051032116081422
General-15-20221231-12:32:36-15420,15,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00055039867146694
General-15-20221231-12:32:36-15420,15,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00051987787696332
General-15-20221231-12:32:36-15420,15,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00051356093689894
General-15-20221231-12:32:36-15420,15,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00051808624564773
General-15-20221231-12:32:36-15420,15,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00052099011845129
